,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
1108,北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段１８號１４樓,18.83,商,,,1110223,土地1建物1車位1,十四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0811126,237.24,4,2,2,有,有,11500000,48474,坡道機械,0.0,0,含傢俱設備費；陽台外推；其他增建；,RPUNMLKKLHHGFBB17DA,144.76,5.37,33.94,有,
1109,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６號六樓之３,21.51,住,,,1090605,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,139.22,2,2,1,有,有,9750000,80948,坡道平面,37.92,1550000,預售屋、或土地及建物分件登記案件；,RPWNMLKKLHHGFBB37DA,61.31,0.0,6.58,有,
1110,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６號十五樓之２,20.62,住,,,1090321,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,126.05000000000001,2,2,1,有,有,8320000,78600,坡道機械,29.74,750000,預售屋、或土地及建物分件登記案件；,RPPOMLKKLHHGFBB76DA,58.25,0.0,6.29,有,
1113,北區,房地(土地+建物)+車位,臺中市北區博館二街１號十五樓,28.44,商,,,1061204,土地1建物1車位3,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101027,290.99,3,2,2,有,有,24500000,119922,坡道平面,122.13,4250000,,RPVTMLMJLHHGFBB97DA,101.38,0.0,10.27,有,
1115,北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十五路３１８號九樓之９,15.96,商,,,1110121,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070907,147.41,2,2,2,有,有,11430000,77539,坡道機械,24.49,0,,RPPNMLRJLHHGFBB27DA,75.03,0.0,8.25,有,281.0
1117,北區,房地(土地+建物)+車位,臺中市北區育樂街９０號四樓之３,12.08,商,,,1110104,土地2建物1車位1,四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,121.25999999999999,2,2,1,有,有,10240000,101687,坡道平面,35.31,1500000,預售屋、或土地及建物分件登記案件；,RPWOMLSJLHHGFBB18DA,51.74,0.0,3.49,有,
1118,北區,房地(土地+建物)+車位,臺中市北區育樂街９０號九樓之６,12.32,商,,,1110114,土地2建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,122.13999999999999,2,2,1,有,有,12050000,121502,坡道平面,35.31,1500000,預售屋、或土地及建物分件登記案件；,RPRPMLSJLHHGFBB77DA,52.16,0.0,3.49,有,
1119,北區,房地(土地+建物)+車位,臺中市北區育樂街９０號十六樓之７,12.08,商,,,1110115,土地2建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,121.25999999999999,2,2,2,有,有,12050000,122746,坡道平面,35.31,1500000,預售屋、或土地及建物分件登記案件；,RPSPMLSJLHHGFBB87DA,51.74,0.0,3.49,有,
1120,北區,房地(土地+建物)+車位,臺中市北區育樂街９０號十六樓之８,12.08,商,,,1110115,土地2建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,121.25999999999999,2,2,2,有,有,12050000,122746,坡道平面,35.31,1500000,預售屋、或土地及建物分件登記案件；,RPUPMLSJLHHGFBB08DA,51.74,0.0,3.49,有,
1121,北區,房地(土地+建物)+車位,臺中市北區育樂街８８號八樓之１,18.12,商,,,1110118,土地2建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,152.95,3,2,2,有,有,15750000,122832,坡道平面,35.31,1300000,預售屋、或土地及建物分件登記案件；,RPVPMLSJLHHGFBB18DA,78.05,0.0,4.43,有,
1122,北區,房地(土地+建物)+車位,臺中市北區育樂街９０號三樓之６,12.32,商,,,1110101,土地2建物1車位1,三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,122.13999999999999,2,2,1,有,有,10480000,103420,坡道平面,35.31,1500000,預售屋、或土地及建物分件登記案件；,RPXRMLSJLHHGFBB58DA,52.16,0.0,3.49,有,
1125,北區,房地(土地+建物)+車位,臺中市北區育樂街８８號九樓之６,17.72,商,,,1101203,土地2建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,150.60000000000002,3,2,2,有,有,13920000,107728,坡道平面,35.31,1500000,預售屋、或土地及建物分件登記案件；,RPSQMLSJLHHGFBB97DA,76.43,0.0,4.49,有,
1126,北區,房地(土地+建物)+車位,臺中市北區育樂街８６號二樓之１,18.12,商,,,1110101,土地2建物1車位1,二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,153.01,3,2,2,有,有,13580000,104333,坡道平面,35.31,1300000,預售屋、或土地及建物分件登記案件；,RPTQMLSJLHHGFBB08DA,78.05,0.0,4.43,有,
