鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
信義區,房地(土地+建物),臺北市信義區虎林街７６巷７號二樓,22.46,住,,,1110208,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710622,89.06,3,2,1,有,有,17800000,199865,,0.0,0,,RPTPMLLLKHHGFDA57EA,56.97,0.0,5.96,有,158
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４６９號十樓,15.54,商,,,1110109,土地2建物1車位2,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,198.58,3,2,2,有,有,56200000,375465,坡道平面,64.08,5700000,,RPSRMLLKKHHGFDA57EA,78.8,8.65,6.09,有,
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７１號四樓之２,19.87,商,,,1110113,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,199.33999999999997,4,2,2,有,有,61500000,350867,坡道平面,32.04,2800000,,RPTRMLLKKHHGFDA67EA,104.96,4.5,11.0,有,
內湖區,房地(土地+建物),臺北市內湖區星雲街１５巷１８弄２１號五樓,24.78,住,,,1110107,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720410,102.45,6,0,6,有,無,17500000,170815,,0.0,0,,RPPNMLRKLHHGFCA47EA,74.45,0.0,19.33,無,159
中山區,房地(土地+建物),臺北市中山區雙城街１９巷８號十二樓之１３,7.14,商,,,1110302,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,68.0,2,1,1,有,有,17500000,257353,,0.0,0,,RPWNMLPKLHHGFCA97EA,39.7,0.63,5.18,有,160
中正區,房地(土地+建物),臺北市中正區博愛路６３號八樓,41.42,商,,,1110216,土地4建物1車位0,八層,十層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0680214,360.27,0,0,0,無,有,60500000,167930,,0.0,0,2辦公室、3會議室、1衛浴,RPPOMLOKLHHGFBA17EA,287.18,0.0,0.0,有,
中山區,房地(土地+建物),臺北市中山區龍江路３９４巷４８號五樓,30.73,商,,,1110211,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700413,112.79,3,2,1,有,無,15600000,138310,,0.0,0,陽台外推；頂樓加蓋；,RPVRMLLKJHHGFCA67EA,89.87,0.0,22.92,無,
內湖區,房地(土地+建物),臺北市內湖區環山路二段５０巷１４弄５號,449.0,住,,,1110128,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0611121,163.89,4,2,3,有,有,117500000,716944,,0.0,0,陽台外推；其他增建；,RPUPMLMLKHHGFCA67EA,163.89,0.0,0.0,無,
北投區,土地,新洲美段10地號,17.03,住,,,1110302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7109200,417452,,0.0,0,,RPSQMLPKLHHGFEA97DA,0.0,0.0,0.0,無,161
北投區,土地,新洲美段10地號,17.03,住,,,1110302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7109200,417452,,0.0,0,,RPTQMLPKLHHGFEA08DA,0.0,0.0,0.0,無,161
