鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新莊區,土地,副都心段一小段104地號,1246.77,住,,,1110222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,754295800,605000,,0.0,0,,RPQPMLMLKHHGFBF57DA,0.0,0.0,0.0,無,
林口區,房地(土地+建物),新北市林口區八德路２６２號十一樓,8.35,,,,1110219,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040129,69.05,1,1,1,有,有,11000000,159305,,0.0,0,其他增建；,RPXRMLMLKHHGFBF48DA,39.4,0.0,3.84,有,0013
林口區,土地,太平二段276地號,226.75,農,,,1110218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5212980,22990,,0.0,0,,RPXNMLNLKHHGFBF18DA,0.0,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新北市五股區水碓九路５５號,81.26,住,,,1101216,土地1建物1車位1,全,二層,透天厝,住家用,鋼筋混凝土造,0850703,240.66,4,4,5,有,有,30000000,124657,其他,0.0,0,陽台外推；夾層；其他增建；,RPSRMLPLKHHGFBF28DA,145.54,40.43,0.0,無,
新莊區,房地(土地+建物),新北市新莊區自強街２６巷１弄４號二樓,14.55,住,,,1110228,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640822,43.5,2,1,1,有,無,4600000,105747,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLSLKHHGFBF38DA,43.5,0.0,0.0,無,
五股區,房地(土地+建物),新北市五股區成泰路一段８巷２之３號六樓,25.54,農,,,1110126,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871204,125.66999999999999,3,2,2,有,有,10220000,81324,,0.0,0,陽台外推；,RPWPMLMJLHHGFBF08DA,82.12,0.0,11.04,有,
新莊區,房地(土地+建物),新北市新莊區和興街１３號二樓,29.03,住,,,1110216,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0640819,118.94,0,0,1,有,無,12080000,101564,,0.0,0,其他增建；,RPTPMLNJLHHGFBF87DA,118.94,0.0,0.0,無,
泰山區,土地,泰山段三小段342地號,0.95,都市：其他:道路用地,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,119400,0,,0.0,0,,RPPQMLOJLHHGFBF67DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段342-1地號,0.95,都市：其他:道路用地,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,119400,0,,0.0,0,,SPPQMLOJLHHGFBF77DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段342-2地號,106.05,都市：其他:鄰里公園兼兒童遊樂場,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13207985,124545,,0.0,0,,TPPQMLOJLHHGFBF87DA,0.0,0.0,0.0,無,0014
