鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
大雅區,房地(土地+建物)+車位,臺中市大雅區雅環路二段１１３巷１９號五樓之６,19.86,住,,,1110123,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800822,113.41999999999999,3,2,2,有,有,7500000,66120,坡道平面,0.0,0,,RPVNMLQKKHHGFHB38DA,95.6,5.86,3.92,有,
大雅區,土地,清雅段247地號,3203.03,農,,,1110209,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60072000,18755,,0.0,0,包含公共設施保留地用地；,RPOOMLQKKHHGFHB77DA,0.0,0.0,0.0,無,
石岡區,土地,石岡段金星面小段580-64地號,8582.0,,山坡地保育區,林業用地,1110111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,303,,0.0,0,,RPPNMLKKLHHGFGB17DA,0.0,0.0,0.0,無,
潭子區,房地(土地+建物),臺中市潭子區得福街１５０號三樓之２,14.45,住,,,1110214,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811025,116.94999999999999,3,2,2,有,有,7400000,63275,,0.0,0,,RPWNMLOLKHHGFHB38DA,78.86,3.91,8.25,有,0058
東勢區,房地(土地+建物),臺中市東勢區第二橫街２４號,69.07,商,,,1110219,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0510101,181.8,4,2,3,有,無,10700000,58856,,0.0,0,,RPRNMLKKLHHGFGB37DA,181.8,0.0,0.0,無,
東勢區,土地,東勢段中嵙小段1108-42地號,1716.0,,山坡地保育區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,495,,0.0,0,,RPPNMLPKLHHGFGB67DA,0.0,0.0,0.0,無,
東勢區,土地,東勢段中嵙小段853-365地號,2000.0,,山坡地保育區,林業用地,1110109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,450,,0.0,0,農作物；,RPPNMLNLKHHGFGB47DA,0.0,0.0,0.0,無,
東勢區,土地,詒新段172-7地號,269.6,工,,,1101028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,27819,,0.0,0,,RPQNMLOLKHHGFGB67DA,0.0,0.0,0.0,無,
東勢區,土地,福興段872-3地號,56.45,,特定農業區,農牧用地,1110214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,543614,9630,,0.0,0,政府機關標讓售；,RPPNMLLJLHHGFGB17DA,0.0,0.0,0.0,無,
東勢區,土地,福興段728-2地號,129.45,,特定農業區,交通用地,1110214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,640306,4946,,0.0,0,政府機關標讓售；,RPQNMLLJLHHGFGB27DA,0.0,0.0,0.0,無,
梧棲區,房地(土地+建物),臺中市梧棲區文昌路４８６巷７號,32.19,住,,,1110305,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0871124,58.33,4,3,3,有,有,2000000,34288,,0.0,0,,RPPNMLTJLHHGFFB87DA,56.66,0.0,1.68,無,
東勢區,土地,復興段384地號,210.5,商,,,1110215,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22500000,106888,,0.0,0,,RPQNMLOJLHHGFGB57DA,0.0,0.0,0.0,無,
清水區,房地(土地+建物),臺中市清水區三美路１７９之２號,91.39,農,,,1110215,土地1建物1車位0,全,二層,透天厝,其他,加強磚造,0840118,117.23,0,2,2,有,無,6050000,51608,,0.0,0,其他增建；,RPTNMLTJLHHGFFB28DA,113.36,0.0,3.87,無,
梧棲區,房地(土地+建物),臺中市梧棲區四維中路３３７號六樓之２,21.77,商,,,1110214,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821017,139.23000000000002,3,2,2,有,有,4500000,32321,,0.0,0,,RPVOMLSJLHHGFFB48DA,95.29,0.0,12.83,有,
清水區,房地(土地+建物),臺中市清水區鎮新二街５８號,68.19,住,,,1110207,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0690820,142.32,4,3,3,有,無,5800000,40753,,0.0,0,,RPXOMLSJLHHGFFB68DA,142.32,0.0,0.0,無,
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段３８８號,23.1,商,,,1110207,土地1建物1車位1,一層，二層,十二層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,1051130,195.92,1,2,2,有,有,13500000,68906,坡道平面,0.0,0,,RPOPMLSJLHHGFFB87DA,134.84,0.0,9.67,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區中山路６４５號,68.6,住,,,1110214,土地1建物1車位0,全,二層,透天厝,住家用,水泥平頂、加強磚造、磨石地床,0630716,103.4,4,2,2,有,無,8360000,80851,,0.0,0,頂樓加蓋；,RPOOMLKKLHHGFFB07DA,103.4,0.0,0.0,無,
清水區,房地(土地+建物),臺中市清水區忠孝一街４９巷３號,77.0,住,,,1110113,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100917,192.12,5,2,3,有,無,12700000,66105,,0.0,0,,RPPOMLKKLHHGFFB17DA,177.67,0.0,14.45,無,
清水區,房地(土地+建物),臺中市清水區忠孝一街４９巷５號,79.0,住,,,1101228,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100917,192.12,5,2,3,有,無,12800000,66625,,0.0,0,,RPQOMLKKLHHGFFB27DA,177.67,0.0,14.45,無,
清水區,房地(土地+建物),臺中市清水區民有路１５７巷５號,92.02,住,,,1110127,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0770708,121.8,3,2,2,有,無,7500000,61576,,0.0,0,頂樓加蓋；其他增建；,RPUOMLSLJHHGFFB38DA,121.8,0.0,0.0,無,
清水區,房地(土地+建物),臺中市清水區民治東路１０６號,95.81,住,,,1110228,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0740601,134.63,4,2,2,有,無,7350000,54594,,0.0,0,其他增建；,RPRNMLLJLHHGFFB27DA,132.39,0.0,2.24,無,
梧棲區,房地(土地+建物),臺中市梧棲區文雅街６０巷７９號,122.0,住,,,1101004,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100908,268.71,5,3,6,有,有,18200000,67731,,0.0,0,,RPWNMLMJJHHGFFB67DA,251.68,0.0,17.03,無,
大甲區,房地(土地+建物)+車位,臺中市大甲區大智街２０５巷５號六樓之８,11.74,住,,,1071124,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,82.09,1,0,1,有,有,4280000,60808,坡道平面,28.15,1000000,預售屋、或土地及建物分件登記案件；,RPOOMLNLKHHGFEB27DA,31.27,2.11,2.72,有,
大甲區,房地(土地+建物)+車位,臺中市大甲區大智街２０５巷５號七樓之８,11.74,住,,,1071124,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,82.09,1,0,1,有,有,4280000,60808,坡道平面,28.15,1000000,預售屋、或土地及建物分件登記案件；,RPSOMLNLKHHGFEB67DA,31.27,2.11,2.72,有,
大甲區,房地(土地+建物)+車位,臺中市大甲區大智街２０５巷５號二樓之１,26.9,住,,,1101030,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,152.82,3,2,2,有,有,8750000,61345,坡道平面,27.3,1050000,預售屋、或土地及建物分件登記案件；,RPRNMLKKLHHGFEB17DA,74.33,5.48,4.95,有,
大甲區,房地(土地+建物)+車位,臺中市大甲區大智街２０５巷５號三樓之５,25.55,住,,,1101016,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,144.95,3,2,2,有,有,8200000,61216,坡道平面,28.15,1050000,預售屋、或土地及建物分件登記案件；,RPSNMLKKLHHGFEB27DA,68.54,4.57,5.01,有,
大甲區,房地(土地+建物)+車位,臺中市大甲區大智街２０５巷５號七樓之７,25.32,住,,,1071208,土地1建物1車位2,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,172.45,3,2,2,有,有,8930000,59234,坡道平面,56.3,2050000,車位總價中無法拆分個別車位價格預售屋、或土地及建物分件登記案件；,RPTNMLKKLHHGFEB37DA,70.0,2.5,5.29,有,
