鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２０號十一樓,19.66,住,,,1080706,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,128.26,2,2,2,有,有,8550000,71656,坡道平面,27.78,1350000,預售屋、或土地及建物分件登記案件；,RPVRMLRJLHHGFBH88DA,57.61,3.88,4.15,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２０號十二樓,19.58,住,,,1080713,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,127.51,2,2,2,有,有,8720000,72395,坡道平面,27.78,1500000,預售屋、或土地及建物分件登記案件；,RPOSMLRJLHHGFBH28DA,57.61,3.42,4.15,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區環中東路３１９之５號十六樓,12.04,住,,,1110121,土地1建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851016,128.45,2,2,2,有,有,7310000,56909,坡道平面,0.0,0,,RPUNMLNJLHHGFBH97DA,68.21,1.62,9.58,有,0241
中壢區,房地(土地+建物),桃園市中壢區中山路３１９巷１９號,40.0,商,,,1101023,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0681103,137.54,0,0,0,無,無,7300000,53075,,0.0,0,,RPOPMLPLKHHGFBH87DA,137.54,0.0,0.0,無,
中壢區,房地(土地+建物),桃園市中壢區環北路３５２號九樓之１９,3.36,住,,,1110130,土地1建物1車位0,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,41.28,1,0,1,有,有,4450000,107800,,0.0,0,含租約；,RPPQMLNJLHHGFBH77DA,27.94,0.0,1.76,有,
中壢區,房地(土地+建物),桃園市中壢區榮民路１６５巷９號,18.92,住,,,1110218,土地1建物1車位0,一層，地下層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0811221,95.83,3,2,2,有,無,5750000,60002,,0.0,0,其他增建；,RPQPMLOLKHHGFBH97DA,73.41,4.65,0.0,有,0242
中壢區,房地(土地+建物),桃園市中壢區榮民路１６５巷９之１號,18.92,住,,,1110218,土地1建物1車位0,一層，地下層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0811221,95.6,2,2,2,有,無,5750000,60146,,0.0,0,,RPUPMLOLKHHGFBH38DA,77.83,0.0,0.0,有,
中壢區,土地,青昇段20地號,100.0,住,,,1110124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17600000,176000,,0.0,0,,RPWWMLMLKHHGFBH09DA,0.0,0.0,0.0,無,0243
中壢區,房地(土地+建物),桃園市中壢區環中東路二段３１２巷１２號十四樓之３,5.81,住,,,1101008,土地1建物1車位0,十四層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880528,62.12,3,2,1,有,有,3300000,53123,,0.0,0,夾層；,RPTQMLOLKHHGFBH38DA,38.36,2.28,3.65,有,0244
中壢區,房地(土地+建物),桃園市中壢區福州路２５號四樓之１,13.77,住,,,1110110,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850812,77.96000000000001,4,2,2,有,有,6100000,78245,,0.0,0,其他增建；,RPWNMLLJLHHGFBH97DA,43.1,0.0,13.42,有,
